,Day,Month,Year,1St,hundredth,tenth,oneth,sum
397,16,4,2547,705832,8,3,2,13
334,1,12,2549,270052,0,5,2,7
65,16,2,2561,309915,9,1,5,15
554,1,10,2540,444413,4,1,3,8
175,16,7,2556,566996,9,9,6,25
317,16,8,2550,476207,2,0,7,9
482,1,10,2543,290582,5,8,2,16
401,16,2,2547,698002,0,0,2,2
504,1,11,2542,561335,3,3,5,11
688,1,3,2535,7291524,5,2,4,11
610,1,6,2538,105615,6,1,5,12
131,16,5,2558,11421,4,2,1,7
394,1,6,2547,614144,1,4,4,9
495,16,3,2543,164311,3,1,1,5
226,1,6,2554,562370,3,7,0,10
622,1,12,2537,6832681,6,8,1,15
427,16,1,2546,977085,0,8,5,14
439,16,7,2545,340264,2,6,4,13
434,1,10,2545,802505,5,0,5,10
3,1,11,2563,506404,4,0,4,8
132,2,5,2558,543466,4,6,6,17
537,16,6,2541,858076,0,7,6,14
85,16,4,2560,816729,7,2,9,19
448,1,3,2545,805590,5,9,0,14
121,16,10,2558,968630,6,3,0,9
343,16,7,2549,512434,4,3,4,11
645,16,12,2536,4043500,5,0,0,5
13,1,6,2563,831567,5,6,7,19
553,16,10,2540,405124,1,2,4,7
568,1,3,2540,976779,7,7,9,24
606,1,8,2538,464819,8,1,9,19
562,1,6,2540,643997,9,9,7,26
682,1,6,2535,5184191,1,9,1,12
579,16,9,2539,814368,3,6,8,18
14,1,4,2563,51095,0,9,5,15
200,1,7,2555,915900,9,0,0,9
476,30,12,2543,119451,4,5,1,10
594,1,2,2539,256556,5,5,6,17
196,1,9,2555,329997,9,9,7,26
143,16,11,2557,479804,8,0,4,12
263,16,11,2552,55986,9,8,6,24
307,16,1,2551,556010,0,1,0,1
596,30,12,2538,327686,6,8,6,21
345,16,6,2549,100935,9,3,5,17
636,2,5,2537,3072877,8,7,7,23
619,16,1,2538,922388,3,8,8,20
416,1,7,2546,461414,4,1,4,9
485,16,8,2543,459013,0,1,3,4
248,1,7,2553,480239,2,3,9,15
40,1,3,2562,345650,6,5,0,11
152,1,7,2557,378477,4,7,7,19
386,1,10,2547,110866,8,6,6,21
12,16,6,2563,516967,9,6,7,23
692,30,12,2534,3208301,3,0,1,4
462,1,8,2544,180597,5,9,7,22
639,16,3,2537,1723336,3,3,6,12
112,1,3,2559,439686,6,8,6,21
467,16,5,2544,91982,9,8,2,20
648,1,11,2536,3908940,9,4,0,13
8,16,8,2563,945811,8,1,1,10
479,16,11,2543,565311,3,1,1,5
599,16,11,2538,239422,4,2,2,8
725,16,8,2533,1671935,9,3,5,17
569,16,2,2540,499884,8,8,4,21
98,1,10,2559,887102,1,0,2,3
253,16,4,2553,211743,7,4,3,14
73,16,10,2560,413494,4,9,4,18
432,1,11,2545,505498,4,9,8,22
392,1,7,2547,312471,4,7,1,12
205,16,4,2555,583470,4,7,0,11
256,1,3,2553,215227,2,2,7,11
715,16,1,2534,5328736,7,3,6,16
16,1,3,2563,875938,9,3,8,21
282,1,2,2552,534533,5,3,3,11
728,1,7,2533,1076835,8,3,5,16
142,1,12,2557,480449,4,4,9,18
441,16,6,2545,73261,2,6,1,9
488,1,7,2543,674071,0,7,1,8
647,16,11,2536,7515123,1,2,3,6
55,16,7,2561,596324,3,2,4,9
681,16,6,2535,5569432,4,3,2,9
436,1,9,2545,994200,2,0,0,2
280,1,3,2552,553091,0,9,1,11
304,1,3,2551,936685,6,8,5,20
491,16,5,2543,9315,3,1,5,9
10,16,7,2563,873286,2,8,6,17
446,1,4,2545,990543,5,4,3,12
366,1,8,2548,961633,6,3,3,12
669,16,12,2535,4826531,5,3,1,9
649,16,10,2536,7611764,7,6,4,18
726,1,8,2533,1867185,1,8,5,15
468,2,5,2544,205095,0,9,5,15
527,16,11,2541,270744,7,4,4,15
17,16,2,2563,781403,4,0,3,7
115,17,1,2559,304371,3,7,1,11
558,1,8,2540,54272,2,7,2,11
332,30,12,2549,778584,5,8,4,18
123,16,9,2558,743148,1,4,8,14
616,1,3,2538,411454,4,5,4,13
685,16,4,2535,2699374,3,7,4,15
389,16,8,2547,335921,9,2,1,12
418,1,6,2546,766066,0,6,6,13
712,1,3,2534,4598076,0,7,6,14
254,1,4,2553,959517,5,1,7,13
627,16,9,2537,4781931,9,3,1,13
78,1,8,2560,756519,5,1,9,16
515,16,5,2542,618818,8,1,8,17
607,16,7,2538,248122,1,2,2,5
409,16,10,2546,305500,5,0,0,5
206,1,4,2555,257562,5,6,2,13
529,16,10,2541,261080,0,8,0,8
128,1,7,2558,759049,0,4,9,14
75,16,9,2560,170143,1,4,3,8
117,17,12,2558,930255,2,5,5,13
231,16,3,2554,593331,3,3,1,7
333,16,12,2549,147977,9,7,7,24
390,2,8,2547,868990,9,9,0,18
71,16,11,2560,292391,3,9,1,14
348,2,5,2549,24554,5,5,4,14
91,17,1,2560,145157,1,5,7,14
708,2,5,2534,4222124,1,2,4,7
593,16,2,2539,681455,4,5,5,15
20,30,12,2562,510541,5,4,1,10
354,1,2,2549,412729,7,2,9,19
105,16,6,2559,73816,8,1,6,15
245,16,8,2553,911097,0,9,7,17
667,16,1,2536,5423816,8,1,6,15
287,16,11,2551,2612,6,1,2,9
368,1,7,2548,9554,5,5,4,14
707,16,5,2534,2532303,3,0,3,6
159,16,3,2557,531404,4,0,4,8
617,16,2,2538,869070,0,7,0,7
422,1,4,2546,933164,1,6,4,12
56,1,7,2561,963623,6,2,3,11
356,30,12,2548,492955,9,5,5,20
406,1,12,2546,991307,3,0,7,10
484,1,9,2543,437367,3,6,7,17
90,1,2,2560,54672,6,7,2,15
400,1,3,2547,697483,4,8,3,16
502,1,12,2542,669281,2,8,1,11
141,16,12,2557,948354,3,5,4,12
605,16,8,2538,265333,3,3,3,9
677,16,8,2535,6234607,6,0,7,13
218,1,10,2554,511052,0,5,2,7
372,2,5,2548,772467,4,6,7,18
643,16,1,2537,4791270,2,7,0,9
193,16,10,2555,281343,3,4,3,10
738,1,2,2533,1078496,4,9,6,20
402,1,2,2547,216822,8,2,2,12
67,17,1,2561,203823,8,2,3,13
656,1,7,2536,3820203,2,0,3,5
63,16,3,2561,218559,5,5,9,20
308,30,12,2550,595411,4,1,1,6
420,2,5,2546,135603,6,0,3,9
113,16,2,2559,356364,3,6,4,14
321,16,6,2550,393194,1,9,4,15
539,16,5,2541,840043,0,4,3,7
259,16,1,2553,73577,5,7,7,20
217,16,10,2554,955756,7,5,6,19
247,16,7,2553,180387,3,8,7,19
453,16,12,2544,224675,6,7,5,19
396,2,5,2547,653403,4,0,3,7
512,1,7,2542,386441,4,4,1,9
300,2,5,2551,453011,0,1,1,2
232,1,3,2554,656037,0,3,7,11
561,16,6,2540,537146,1,4,6,12
289,16,10,2551,431277,2,7,7,17
460,1,9,2544,119067,0,6,7,14
225,16,6,2554,351276,2,7,6,16
136,1,3,2558,240237,2,3,7,13
731,16,5,2533,5071272,2,7,2,11
338,1,10,2549,952335,3,3,5,11
703,16,7,2534,1671946,9,4,6,20
54,1,8,2561,386602,6,0,2,8
168,1,11,2556,739804,8,0,4,12
369,16,6,2548,793070,0,7,0,7
429,16,12,2545,19682,6,8,2,17
505,16,10,2542,410227,2,2,7,11
666,1,2,2536,7459337,3,3,7,14
629,16,8,2537,6504760,7,6,0,13
626,1,10,2537,7128442,4,4,2,10
578,1,10,2539,947788,7,8,8,24
297,16,6,2551,729111,1,1,1,3
330,1,2,2550,769925,9,2,5,16
544,1,3,2541,236864,8,6,4,19
640,1,3,2537,3373731,7,3,1,11
340,1,9,2549,381761,7,6,1,14
9,1,8,2563,569391,3,9,1,14
167,16,11,2556,806925,9,2,5,16
148,1,9,2557,856763,7,6,3,16
408,1,11,2546,941438,4,3,8,16
528,1,11,2541,920846,8,4,6,19
586,1,6,2539,869656,6,5,6,18
181,16,4,2556,843846,8,4,6,19
563,16,5,2540,88067,0,6,7,14
204,2,5,2555,889501,5,0,1,6
275,16,5,2552,111411,4,1,1,6
182,1,4,2556,571688,6,8,8,23
180,2,5,2556,603458,4,5,8,18
320,1,7,2550,565151,1,5,1,7
76,1,9,2560,143224,2,2,4,8
290,1,10,2551,882911,9,1,1,11
145,16,10,2557,656409,4,0,9,13
81,16,6,2560,943142,1,4,2,7
628,1,9,2537,6220893,8,9,3,21
243,16,9,2553,17422,4,2,2,8
498,1,2,2543,530213,2,1,3,6
158,1,4,2557,28866,8,6,6,21
349,16,4,2549,38564,5,6,4,16
230,1,4,2554,814931,9,3,1,13
652,1,9,2536,2812096,0,9,6,16
452,30,12,2544,729367,3,6,7,17
550,1,12,2540,241559,5,5,9,20
100,1,9,2559,638684,6,8,4,19
518,1,4,2542,479957,9,5,7,22
413,16,8,2546,354771,7,7,1,15
246,1,8,2553,210008,0,0,8,8
566,1,4,2540,617629,6,2,9,18
613,16,4,2538,53581,5,8,1,14
285,16,12,2551,74114,1,1,4,6
311,16,11,2550,562481,4,8,1,13
223,16,7,2554,116556,5,5,6,17
611,17,5,2538,220381,3,8,1,12
237,16,12,2553,334380,3,8,0,11
587,17,5,2539,978140,1,4,0,5
104,1,7,2559,82460,4,6,0,10
135,16,3,2558,48151,1,5,1,7
318,1,8,2550,429924,9,2,4,15
589,16,4,2539,49584,5,8,4,18
11,1,7,2563,347258,2,5,8,16
270,1,8,2552,154986,9,8,6,24
729,16,6,2533,3530344,3,4,4,11
490,1,6,2543,592761,7,6,1,14
631,16,7,2537,5962891,8,9,1,19
719,16,11,2533,1226536,5,3,6,14
52,1,9,2561,734510,5,1,0,6
380,30,12,2547,168858,8,5,8,22
80,1,7,2560,112360,3,6,0,9
240,1,11,2553,191100,1,0,0,1
489,16,6,2543,825696,6,9,6,22
43,17,1,2562,197079,0,7,9,17
30,1,8,2562,387006,0,0,6,6
214,1,12,2554,408147,1,4,7,13
574,1,12,2539,179528,5,2,8,16
463,16,7,2544,820715,7,1,5,13
367,16,7,2548,477452,4,5,2,11
483,16,9,2543,46251,2,5,1,8
339,16,9,2549,217948,9,4,8,22
583,16,7,2539,332687,6,8,7,22
387,16,9,2547,923373,3,7,3,14
61,16,4,2561,739229,2,2,9,14
689,16,2,2535,1868701,7,0,1,8
23,16,11,2562,17223,2,2,3,7
449,16,2,2545,330853,8,5,3,16
364,1,9,2548,316933,9,3,3,15
74,1,10,2560,880714,7,1,4,12
251,16,5,2553,480012,0,1,2,3
229,16,4,2554,825988,9,8,8,26
267,16,9,2552,202912,9,1,2,12
591,16,3,2539,19128,1,2,8,12
614,1,4,2538,427039,0,3,9,13
698,1,10,2534,2730444,4,4,4,12
524,30,12,2541,464147,1,4,7,13
151,16,7,2557,468728,7,2,8,18
156,2,5,2557,103297,2,9,7,19
323,16,5,2550,232897,8,9,7,25
718,1,12,2533,4771944,9,4,4,17
106,1,6,2559,511825,8,2,5,15
25,16,10,2562,812564,5,6,4,16
602,1,10,2538,317092,0,9,2,12
120,1,11,2558,361211,2,1,1,4
252,2,5,2553,360371,3,7,1,11
733,16,4,2533,5092890,8,9,0,17
310,1,12,2550,113410,4,1,0,5
227,16,5,2554,406417,4,1,7,12
209,16,2,2555,648684,6,8,4,19
419,16,5,2546,552784,7,8,4,20
722,1,10,2533,5738808,8,0,8,16
385,16,10,2547,355858,8,5,8,22
298,1,6,2551,414875,8,7,5,21
271,16,7,2552,816,8,1,6,15
548,30,12,2540,675704,7,0,4,11
185,16,2,2556,368257,2,5,7,15
89,16,2,2560,229116,1,1,6,8
717,16,12,2533,4407799,7,9,9,26
545,16,2,2541,612897,8,9,7,25
242,1,10,2553,488372,3,7,2,12
704,1,7,2534,4441724,7,2,4,13
26,1,10,2562,691197,1,9,7,18
351,16,3,2549,936177,1,7,7,16
700,1,9,2534,6700430,4,3,0,7
72,1,11,2560,533726,7,2,6,15
59,16,5,2561,75629,6,2,9,18
169,16,10,2556,963289,2,8,9,20
155,16,5,2557,87523,5,2,3,10
94,1,12,2559,86069,0,6,9,16
140,30,12,2557,461704,7,0,4,11
511,16,7,2542,70416,4,1,6,11
486,1,8,2543,267540,5,4,0,9
438,1,8,2545,493438,4,3,8,16
258,1,2,2553,186312,3,1,2,6
4,16,10,2563,286051,0,5,1,6
137,16,2,2558,1864,8,6,4,19
426,1,2,2546,456370,3,7,0,10
171,16,9,2556,562684,6,8,4,19
108,2,5,2559,399459,4,5,9,19
585,16,6,2539,318311,3,1,1,5
493,16,4,2543,836777,7,7,7,22
107,16,5,2559,141737,7,3,7,18
255,16,3,2553,364222,2,2,2,6
433,16,10,2545,428641,6,4,1,11
503,16,11,2542,764354,3,5,4,12
646,1,12,2536,3670638,6,3,8,18
573,16,12,2539,593856,8,5,6,20
695,16,11,2534,4373528,5,2,8,16
371,16,5,2548,867134,1,3,4,8
531,16,9,2541,65720,7,2,0,9
306,1,2,2551,212684,6,8,4,19
633,16,6,2537,1947355,3,5,5,14
379,16,1,2548,335022,0,2,2,4
447,16,3,2545,659152,1,5,2,8
428,30,12,2545,895196,1,9,6,17
651,16,9,2536,4286755,7,5,5,18
324,2,5,2550,430374,3,7,4,15
615,16,3,2538,646847,8,4,7,20
399,16,3,2547,615366,3,6,6,16
541,16,4,2541,146573,5,7,3,16
176,1,7,2556,646905,9,0,5,14
122,1,10,2558,594825,8,2,5,15
157,16,4,2557,153406,4,0,6,10
194,1,10,2555,124025,0,2,5,7
590,1,4,2539,660765,7,6,5,19
83,16,5,2560,454891,8,9,1,19
257,16,2,2553,133707,7,0,7,14
706,1,6,2534,2496376,3,7,6,17
199,16,7,2555,904050,0,5,0,5
492,2,5,2543,70715,7,1,5,13
671,16,11,2535,3685682,6,8,2,17
299,16,5,2551,329231,2,3,1,6
675,16,9,2535,6874108,1,0,8,9
377,16,2,2548,816422,4,2,2,8
216,1,11,2554,805540,5,4,0,9
29,16,8,2562,775476,4,7,6,18
581,16,8,2539,352768,7,6,8,22
588,2,5,2539,247351,3,5,1,9
365,16,8,2548,475560,5,6,0,11
239,16,11,2553,813993,9,9,3,22
526,1,12,2541,836569,5,6,9,21
536,1,7,2541,595123,1,2,3,6
443,16,5,2545,598714,7,1,4,12
96,1,11,2559,785438,4,3,8,16
250,1,6,2553,444874,8,7,4,20
46,1,12,2561,21840,8,4,0,12
604,1,9,2538,620837,8,3,7,19
197,16,8,2555,683877,8,7,7,23
5,1,10,2563,837893,8,9,3,21
174,1,8,2556,356435,4,3,5,12
187,16,1,2556,820981,9,8,1,18
632,1,7,2537,6568267,2,6,7,16
211,16,1,2555,451445,4,4,5,13
192,1,11,2555,524694,6,9,4,20
653,16,8,2536,4088644,6,4,4,14
608,1,7,2538,939901,9,0,1,10
18,1,2,2563,589227,2,2,7,11
97,16,10,2559,571947,9,4,7,21
261,16,12,2552,685141,1,4,1,6
584,1,7,2539,625379,3,7,9,20
655,16,7,2536,5686061,0,6,1,7
166,1,12,2556,168795,7,9,5,22
244,1,9,2553,354656,6,5,6,18
278,1,4,2552,816578,5,7,8,21
525,16,12,2541,181813,8,1,3,12
